== 0 ==
"001"	{emote: Alarmed}
"002"	{emote: Mistaken}
"003"	{emote: Shocked}
"004"	{emote: Greetings}
"005"	{emote: Thought}
"006"	{emote: Anger}
"007"	{emote: Worry}
"008"	{emote: Worry}
"009"	{emote: Laughter}
== 1 ==
"001"	{emote: Alarmed}
"002"	{emote: Mistaken}
"003"	{emote: Shocked}
"004"	{emote: Greetings}
"005"	{emote: Thought}
"006"	{emote: Anger}
"007"	{emote: Worry}
"008"	{emote: Worry}
"009"	{emote: Laughter}
== 2 ==
"001"	{emote: Alarmed}
"002"	{emote: Mistaken}
"003"	{emote: Shocked}
"004"	{emote: Greetings}
"005"	{emote: Thought}
"006"	{emote: Anger}
"007"	{emote: Worry}
"008"	{emote: Worry}
"009"	{emote: Laughter}
