== 0 ==
"001"	{emote: Surprise}
"002"	{emote: Sunny}
"003"	.{pause 8}
"004"	{emote: Alarmed}
"005"	{emote: Shocked}
"006"	OK!{pause 30}
"007"	{emote: Agreement}
"008"	{emote: Worry}
== 1 ==
"001"	{emote: Surprise}
"002"	{emote: Sunny}
"003"	Anda,{pause 8}
"004"	{emote: Alarmed}
"005"	{emote: Shocked}
"006"	Perfecto,{pause 8}
"007"	{emote: Agreement}
"008"	{emote: Worry}
== 2 ==
"001"	{emote: Surprise}
"002"	{emote: Sunny}
"003"	.{pause 8}
"004"	{emote: Alarmed}
"005"	{emote: Shocked}
"006"	OK!{pause 30}
"007"	{emote: Agreement}
"008"	{emote: Worry}
