== 0 ==
"001"	{Blue}If might is supposed to make right,	then what makes left, maaan?{Color Reset}
"002"	{Blue}If you're the only normal person in	a group of weirdos, does that make	you the weird one? Maaan.{Color Reset}
"003"	{Blue}Secrets are like scars: everyone has	one, and if you don't, you're totally	a boring person, maaan.{Color Reset}
"004"	{Blue}If your heart breaks when your	love leaves, what happens to your	stomach when your meal's gone?{Color Reset}
"005"	{Blue}If blues are for when you're sad,	why don't they call salsa music	the reds, maaan?{Color Reset}
"006"	{Blue}You tell a kid there's no hope,	man, just wait and see how fast	that kid tells you otherwise.{Color Reset}
"007"	{Blue}What's up with driftwood?	I mean really, you ever think	about THAT, maaan?{Color Reset}
"008"	{Blue}If you put off procrastinating to do	some work, is that still you just	procrastinating, maaan?{Color Reset}
"009"	{Blue}The earth is round, but we once	thought it was flat, but it's got	four corners...or is that wrong?{Color Reset}
"010"	{Blue}Love is like a cookie: your world is	great until it's all gone, leaving your	life all crummy.{Color Reset}
"011"	{Blue}Ever notice how they call it "fishing"	and not "poling" or "casting" or	something? Maaan, why is that?{Color Reset}
"012"	{Blue}Why is a pizza folded over called a	calzone? Why isn't it still called a	pizza? What's their agenda, maaan?{Color Reset}
"013"	{Blue}If you can't climb to the top of the	world's tallest mountain, you should	just climb a bunch of hills, maaan.{Color Reset}
"014"	{Blue}If money is no object, then what	does that leave you to pay with?	Maaan, money is COMPLICATED.{Color Reset}
"015"	{Blue}If you find out at the end of a book	that it was all a dream, then does	it really matter, maaan?{Color Reset}
"016"	{Blue}I've seen people excuse their dogs	when they get into the garbage, but	never their kids. What's up there?{Color Reset}
"017"	{Blue}The best things in life are free, but	if you try to sell them, you always	seem to make a KILLING, maaan...{Color Reset}
"018"	{Blue}If there are seven seas, but they're	all connected, doesn't that mean it's	only one and we got it wrong, man?{Color Reset}
"019"	{Blue}Stars in the sky are just explosions,	but we assume a star shape always	has five points. Why's THAT?{Color Reset}
"020"	{Blue}Once you're soaked, that's it.	You've hit maximum soakage.	You can't get any wetter, maaan!{Color Reset}
"021"	{Blue}You can predict the score at the	start of every game: it's always	zero to zero, maaan!{Color Reset}
"022"	{Blue}Heroes aren't necessarily the dudes	who run into danger, but the dudes	who stop you from doing the same.{Color Reset}
"023"	{Blue}Plucking the right strings on a guitar	can feel great, but plucking the right	hairs always hurts, maaan.{Color Reset}
"024"	{Blue}If a couple is two and three's a few,	then why isn't several actually just	seven? Maaan, mind boggled...{Color Reset}
"025"	{Blue}If you don't do anything new in a	day, but you've never NOT done	something new, is that new, maaan?{Color Reset}
"026"	{Blue}Maaan, folks who say they have no	worries are just the folks who know	how to ignore those same worries.{Color Reset}
"027"	{Blue}If you try to teach a kid to play	the piano, he thinks that's cool. But	the spoons? He thinks you're crazy.{Color Reset}
"028"	{Blue}One fish is a fish, but two fish are	also considered fish. Where are the	fishes, maaan? I wanna know!{Color Reset}
"029"	{Blue}Everyone loves summer because of	vacations and winter because of the	holidays. But fall, maaan—no love.{Color Reset}
"030"	{Blue}Why are they called roller coasters?	I don't wanna COAST, maaan.	Why not roller ZOOMERS?{Color Reset}
"031"	{Blue}You see a guy talking, you think he's	the smart one, but maaan, that guy	who's just listening, he's a GENIUS.{Color Reset}
"032"	{Blue}Why do people love diamonds?	Don't they know they're just	shiny rocks? Maaan, I don't get it...{Color Reset}
"033"	{Blue}If you put stop signs in front of	cliffs, do you think people would	stop but then keep driving? Maaan...{Color Reset}
"034"	{Blue}Hot-air balloons? Maaan, how do	you even STEER one of those?	Do you use a big fan?{Color Reset}
"035"	{Blue}A full stomach is more likely to let	enemies become friends, but an	empty stomach will do the opposite.{Color Reset}
"036"	{Blue}Why do they call people "tourists"	when they aren't really on a tour?	They're just THERE, maaan.{Color Reset}
"037"	{Blue}Did you know that sharks don't	even care? No, seriously, ask them	anything. Maaan, they don't care.{Color Reset}
"038"	{Blue}Friends are like seagulls, maaan.	No, wait. That was just seagulls.	I forget what friends are like.{Color Reset}
"039"	{Blue}If you learn a foreign language, is it	even FOREIGN anymore, maaan?{Color Reset}
"040"	{Blue}If your dreams are just your brain	working through questions, what	happens when it answers them all?{Color Reset}
"041"	{Blue}The high road is supposed to be the	noble one, but, maaan, you can drop	a lot of coconuts from up there.{Color Reset}
"042"	{Blue}Why are things always in the last	place you look? Maaan, I wish they	were always in the first.{Color Reset}
"043"	{Blue}If color is just light bouncing off of	things into our eyes, maaan, what	does the world really look like?{Color Reset}
"044"	{Blue}Sometimes you gotta wonder if the	sky isn't really the ground and we	just walk around on our heads.{Color Reset}
"045"	{Blue}If fish can't close their eyes to	sleep, maybe they're so tired they	think hooks are pillows, maaan.{Color Reset}
"046"	{Blue}Why is it you see guys with hair but	they're considered bald? Hair is	hair, maaan, even if it's sparse.{Color Reset}
"047"	{Blue}People only ask how you're doing	because they want to tell you how	THEY are, maaan.{Color Reset}
"048"	{Blue}Ponds are just small lakes. Lakes	are just small oceans. So what are	oceans smaller than, maaan?{Color Reset}
"049"	{Blue}Do boats float on top of the water,	or does water just not like boats	and pushes them away, maaan?{Color Reset}
"050"	{Blue}Life is like an orange. I forget why,	but the point is scurvy is no fun. So	be sure to eat your oranges, maaan.{Color Reset}
"051"	{Blue}If a king takes up fishing, does that	turn him into a kingfisher?	Oh, maaan, that'd be CRAZY.{Color Reset}
"052"	{Blue}Catfish are a thing, but not fishcats.	Maaan, why is that? I don't even	know where to begin there...{Color Reset}
"053"	{Blue}If people will pay a penny for your	thoughts, but you give them for two	cents, someone's getting ripped off.{Color Reset}
"054"	{Blue}If a baby goat is called a "kid," why	isn't an older goat just called a	"man"? Maaan, that'd make sense!{Color Reset}
"055"	{Blue}If ninjas are so great about hiding,	why do we know what they're	always wearing? Maaan, weird.{Color Reset}
"056"	{Blue}Spiders live in webs, but, maaan,	wouldn't that get boring? Why don't	they just make houses from webs?{Color Reset}
"057"	{Blue}Sailboats need wind, but you can	just paddle them if there isn't any.	Maan, isn't that cheating, though?{Color Reset}
"058"	{Blue}If you always burn whatever you	cook, maaan, maybe you're just	really good at making burned food.{Color Reset}
"059"	{Blue}Why do people think the moon is	made of cheese? Maaan, what kind	of cheese is gray? BAD cheese.{Color Reset}
"060"	{Blue}Lobsters are just longer, skinnier	crabs. Maaan, the sooner they can	just admit it, the happier they'll be.{Color Reset}
"061"	{Blue}If a man is only as good as his word,	maaan, what if his word is "bologna"	or something?{Color Reset}
"062"	{Blue}If thunder is just the sound that	lightning makes, doesn't that just	make it an onomatopoeia? Maaan...{Color Reset}
"063"	{Blue}If everyone has a cell phone now,	why do we still have phone booths?	Maaan, just think about that.{Color Reset}
"064"	{Blue}No one likes vultures, even though	they're just the janitors of the bird	world. Maaan, they need better PR.{Color Reset}
"065"	{Blue}Maaan, why don't you ever see a	race between water skiers? It'd be	an instant hit, you know?{Color Reset}
"066"	{Blue}Barbers are like doctors for your	hair, but they never make house	calls. Maaan, why not?{Color Reset}
"067"	{Blue}If "mouse" turns into "mice", why	doesn't "spouse" turn into "spice"?	Maaan, my head is CRACKIN' here!{Color Reset}
"068"	{Blue}Maaan, there's no such thing as a	cat person. You've either got a cat	or a person, but never both at once.{Color Reset}
"069"	{Blue}Who decided oranges have to be	named after the color, but bananas	aren't just called "yellows"? Maaan...{Color Reset}
"070"	{Blue}If bears live in caves, but so do	bats, maaan, what if bears just	turned into bats at night?{Color Reset}
"071"	{Blue}If you've got two kidneys, maaan,	why not two hearts? That would	solve so many problems...{Color Reset}
"072"	{Blue}If you arm-wrestle with your dad	and beat him, maaan, you'll never	know if he was just letting you win.{Color Reset}
"073"	{Blue}Sometimes courage is best defined	as a tough buildup on teeth. Oh, uh,	maaan, that was plaque. Sorry.{Color Reset}
"074"	{Blue}If some peppers are hot and some	are mild, then why is pepper always	considered spicy, maaan?{Color Reset}
