== 0 ==
"001"	{emote: Worry}
"002"	{emote: Surprise}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Worry}
"006"	{emote: Delight}
"007"	{emote: Anger}
"008"	{emote: Agreement}
"009"	{emote: Showmanship}
"010"	{emote: Showmanship}
"011"	{emote: Worry}
== 1 ==
"001"	{emote: Worry}
"002"	{emote: Surprise}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Alarmed}
"006"	{emote: Sigh}
"007"	{emote: Anger}
"008"	{emote: Agreement}
"009"	{emote: Showmanship}
"010"	{emote: Showmanship}
"011"	{emote: Worry}
== 2 ==
"001"	{emote: Worry}
"002"	{emote: Surprise}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Outrage}
"006"	{emote: Delight}
"007"	{emote: Anger}
"008"	{emote: Agreement}
"009"	{emote: Showmanship}
"010"	{emote: Showmanship}
"011"	{emote: Worry}
