== 0 ==
"001"	{emote: Alarmed}
"002"	{emote: Anger}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Anger}
"006"	{emote: Worry}
"007"	{emote: Sigh}
"008"	{emote: Anger}
"009"	{emote: Worry}
== 1 ==
"001"	{emote: Alarmed}
"002"	{emote: Anger}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Anger}
"006"	{emote: Worry}
"007"	{emote: Sigh}
"008"	{emote: Anger}
"009"	{emote: Worry}
== 2 ==
"001"	{emote: Alarmed}
"002"	{emote: Anger}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Anger}
"006"	{emote: Worry}
"007"	{emote: Sigh}
"008"	{emote: Anger}
"009"	{emote: Worry}
