== 0 ==
"001"	{emote: Alarmed}
"002"	{emote: Aggravation}
"003"	{emote: Distress}
"004"	{emote: Anger}
"005"	{emote: Surprise}
"006"	{emote: Anger}
"007"	{emote: Anger}
"008"	{emote: Alarmed}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Happiness}
== 1 ==
"001"	{emote: Alarmed}
"002"	{emote: Aggravation}
"003"	{emote: Distress}
"004"	{emote: Anger}
"005"	{emote: Surprise}
"006"	{emote: Anger}
"007"	{emote: Anger}
"008"	{emote: Alarmed}
"009"	{emote: Happiness}
"010"	{emote: Happiness}
"011"	{emote: Happiness}
== 2 ==
"001"	{emote: Alarmed}
"002"	{emote: Aggravation}
"003"	{emote: Outrage}
"004"	{emote: Anger}
"005"	{emote: Surprise}
"006"	{emote: Anger}
"007"	{emote: Anger}
"008"	{emote: Alarmed}
"009"	{emote: Happiness}
"010"	{emote: Agreement}
"011"	{emote: Happiness}
