== 0 ==
"001"	{emote: Glare}
"002"	{emote: Surprise}
"003"	{emote: Joy}
"004"	{emote: Worry}
"005"	{emote: Worry}
"006"	{emote: Surprise}
"007"	{emote: Worry}
"008"	{emote: Agreement}
"009"	{emote: Sheepishness}
"010"	{emote: Sheepishness}
"011"	{emote: Worry}
== 1 ==
"001"	{emote: Worry}
"002"	{emote: Inspired}
"003"	{emote: Disbelief}
"004"	{emote: Agreement}
"005"	{emote: Worry}
"006"	{emote: Surprise}
"007"	{emote: Worry}
"008"	{emote: Agreement}
"009"	{emote: Sunny}
"010"	{emote: Sunny}
"011"	{emote: Agreement}
== 2 ==
"001"	{emote: Worry}
"002"	{emote: Surprise}
"003"	{emote: Worry}
"004"	{emote: Worry}
"005"	{emote: Worry}
"006"	{emote: Surprise}
"007"	{emote: Worry}
"008"	{emote: Agreement}
"009"	{emote: Sheepishness}
"010"	{emote: Sheepishness}
"011"	{emote: Worry}
