== 0 ==
"001"	{emote: Sunny}
"002"	{emote: Sunny}
"003"	{emote: Alarmed}
"004"	{emote: Alarmed}
"005"	{emote: Shocked}
"006"	{emote: Greetings}
"007"	{emote: Greetings}
"008"	{emote: Sheepishness}
== 1 ==
"001"	{emote: Sunny}
"002"	{emote: Sunny}
"003"	{emote: Alarmed}
"004"	{emote: Alarmed}
"005"	{emote: Shocked}
"006"	{emote: Greetings}
"007"	{emote: Greetings}
"008"	{emote: Sheepishness}
== 2 ==
"001"	{emote: Sunny}
"002"	{emote: Sunny}
"003"	{emote: Alarmed}
"004"	{emote: Alarmed}
"005"	{emote: Shocked}
"006"	{emote: Greetings}
"007"	{emote: Greetings}
"008"	{emote: Sheepishness}
