== 0 ==
"001"	{emote: Surprise}
"002"	{emote: Surprise}
"003"	{emote: Alarmed}
"004"	{emote: Greetings}
"005"	{emote: Shocked}
"006"	{emote: Surprise}
"007"	{emote: Alarmed}
"008"	{emote: Pride}
"009"	{emote: Surprise}
"010"	{emote: Fearful}
== 1 ==
"001"	{emote: Surprise}
"002"	{emote: Surprise}
"003"	{emote: Alarmed}
"004"	{emote: Greetings}
"005"	{emote: Shocked}
"006"	{emote: Surprise}
"007"	{emote: Alarmed}
"008"	{emote: Pride}
"009"	{emote: Surprise}
"010"	{emote: Fearful}
== 2 ==
"001"	{emote: Surprise}
"002"	{emote: Surprise}
"003"	{emote: Alarmed}
"004"	{emote: Greetings}
"005"	{emote: Shocked}
"006"	{emote: Surprise}
"007"	{emote: Alarmed}
"008"	{emote: Pride}
"009"	{emote: Surprise}
"010"	{emote: Sadness}
